0,1,2,3,4,5,6,7,8,9,10
0,37.8106959,-122.183232,24.285,49,2.35,19.210625,64.125,3,1,0
1,37.8106959,-122.183232,19.725,61,3.53,19.210625,64.125,3,1,0
2,37.8106959,-122.183232,17.725,69,3.85,19.210625,64.125,3,1,0
3,37.8106959,-122.183232,18.635,67,3.35,19.210625,64.125,3,1,0
4,37.8106959,-122.183232,19.52,62,2.73,19.210625,64.125,3,1,0
5,37.8106959,-122.183232,19.56,62,2.76,19.210625,64.125,3,1,0
0,38.2674577,-114.5958307,26.085,26,2.31,23.3721875,35.27083333,2,2,1
1,38.2674577,-114.5958307,24.195,32,4.26,23.3721875,35.27083333,2,2,1
2,38.2674577,-114.5958307,24.155,34,4.1,23.3721875,35.27083333,2,2,1
3,38.2674577,-114.5958307,23.075,43,3.87,23.3721875,35.27083333,2,2,1
4,38.2674577,-114.5958307,21.965,50,3.38,23.3721875,35.27083333,2,2,1
5,38.2674577,-114.5958307,22.94,40,3.02,23.3721875,35.27083333,2,2,1
0,40.0246419,-117.111486,23.99,19,2.17,24.13875,22.71875,2,0,0
1,40.0246419,-117.111486,22.6,20,3.5,24.13875,22.71875,2,0,0
2,40.0246419,-117.111486,22.365,20,1.65,24.13875,22.71875,2,0,0
3,40.0246419,-117.111486,22.62,17,2.27,24.13875,22.71875,2,0,0
4,40.0246419,-117.111486,21.155,12,1.88,24.13875,22.71875,2,0,0
5,40.0246419,-117.111486,20.9,14,1.61,24.13875,22.71875,2,0,0
0,39.387717,-114.6980699,22.41,30,0.38,20.97479167,35.76041667,2,2,1
1,39.387717,-114.6980699,21.805,31,2.57,20.97479167,35.76041667,2,2,1
2,39.387717,-114.6980699,21.73,25,3.15,20.97479167,35.76041667,2,2,1
3,39.387717,-114.6980699,20.875,35,4.17,20.97479167,35.76041667,2,2,1
4,39.387717,-114.6980699,19.595,50,2.63,20.97479167,35.76041667,2,2,1
5,39.387717,-114.6980699,19.425,39,0.89,20.97479167,35.76041667,2,2,1
0,38.9310577,-114.4216662,25.46,25,1.05,23.75114583,33.60416667,2,2,1
1,38.9310577,-114.4216662,23.345,29,3.27,23.75114583,33.60416667,2,2,1
2,38.9310577,-114.4216662,23.385,26,3.34,23.75114583,33.60416667,2,2,1
3,38.9310577,-114.4216662,22.615,36,3.59,23.75114583,33.60416667,2,2,1
4,38.9310577,-114.4216662,21.655,49,2.48,23.75114583,33.60416667,2,2,1
5,38.9310577,-114.4216662,21.825,41,1.63,23.75114583,33.60416667,2,2,1
0,38.6042849,-122.8323792,27.775,34,2.42,20.38395833,62.91666667,2,1,0
1,38.6042849,-122.8323792,23.285,52,2.45,20.38395833,62.91666667,2,1,0
2,38.6042849,-122.8323792,20.94,65,1.91,20.38395833,62.91666667,2,1,0
3,38.6042849,-122.8323792,22.705,59,1.84,20.38395833,62.91666667,2,1,0
4,38.6042849,-122.8323792,22.49,55,2.25,20.38395833,62.91666667,2,1,0
5,38.6042849,-122.8323792,22.755,57,1.83,20.38395833,62.91666667,2,1,0
0,36.7879992,-118.7795466,22.855,31,0.92,21.1690625,36.80208333,2,2,1
