,Tempavg,Humavg,Windavg,Rainavg
0,21.360119047619044,57.22321428571429,2.0,1.0
1,24.306279761904758,33.69047619047619,2.0,2.0
2,24.748392857142854,24.291666666666664,2.0,0.0
3,22.183214285714286,29.988095238095234,2.0,2.0
4,24.850714285714293,28.770833333333332,2.0,2.0
5,20.66363095238095,65.16369047619048,1.0,1.0
6,22.506875,38.2470238095238,1.0,2.0
7,23.339791666666667,57.11904761904761,2.0,1.0
8,23.97982142857143,56.544642857142854,1.0,0.0
9,21.570744047619048,65.01785714285714,1.0,0.0
10,23.563154761904762,57.988095238095234,1.0,0.0
11,18.99291666666667,70.35714285714285,1.0,1.0
12,20.112410714285716,40.62499999999999,2.0,2.0
13,28.070684523809522,43.5654761904762,2.0,0.0
14,21.54544642857143,60.080357142857146,2.0,1.0
15,21.348363095238103,41.03869047619048,1.0,2.0
16,21.74767857142857,64.16071428571428,1.0,0.0
17,24.715386904761914,53.42857142857144,1.0,0.0
18,23.269375000000004,56.732142857142854,1.0,1.0
19,21.37848214285714,65.85416666666667,1.0,0.0
20,20.878244047619045,41.78869047619048,1.0,3.0
21,16.761696428571433,81.16964285714286,1.0,2.0
22,22.41556547619047,61.729166666666664,1.0,0.0
23,23.54970238095238,56.58928571428573,1.0,1.0
24,22.70267857142857,60.68154761904761,1.0,0.0
25,23.650446428571428,57.10714285714287,1.0,0.0
26,23.882886904761904,56.86607142857143,1.0,0.0
27,20.608720238095238,42.110119047619044,1.0,3.0
28,23.047261904761903,59.56250000000001,1.0,0.0
29,20.294464285714287,41.65178571428571,2.0,3.0
30,24.26491071428572,55.71726190476191,1.0,0.0
31,21.100178571428575,41.39583333333333,1.0,3.0
32,24.4608630952381,54.857142857142854,1.0,0.0
33,24.180982142857143,55.67261904761905,1.0,0.0
34,22.54619047619048,61.36011904761905,1.0,0.0
35,24.26622023809524,37.95535714285715,1.0,2.0
36,22.402053571428574,61.99702380952381,1.0,0.0
37,25.9477380952381,30.22916666666666,2.0,0.0
38,22.637797619047614,60.931547619047606,1.0,0.0
39,22.94297619047619,59.752976190476204,1.0,1.0
40,21.783392857142864,64.10714285714285,1.0,0.0
41,26.520148809523814,38.580357142857146,1.0,0.0
42,25.89395833333333,34.99404761904762,1.0,1.0
43,23.988869047619044,56.68750000000001,1.0,0.0
44,25.698571428571427,43.25595238095239,1.0,0.0
45,25.898601190476192,41.37500000000001,2.0,0.0
46,23.29303571428572,58.86607142857143,1.0,0.0
47,23.272767857142856,57.05952380952381,1.0,0.0
48,20.541071428571428,65.26488095238095,1.0,1.0
49,28.99934523809524,37.970238095238095,2.0,1.0
50,21.87946428571428,39.672619047619044,1.0,3.0
51,23.30931547619048,58.66666666666667,1.0,0.0
52,22.98604166666667,58.895833333333336,1.0,0.0
