Oakland
Pioche
Battle Mountain
Ely
Ely
Healdsburg
None
Redcrest
Phillipsville
Redcrest
Myers Flat
Occidental
Hume
Meridian
Santa Rosa
None
Weott
Myers Flat
Leggett
Redcrest
Hume
Seaside
Weott
None
Myers Flat
Garberville
Myers Flat
Hume
Myers Flat
Hume
Myers Flat
Hume
Phillipsville
Myers Flat
Myers Flat
Hume
Redcrest
Canby
Weott
Weott
Weott
Mad River
None
Miranda
Garberville
None
Myers Flat
Garberville
Watsonville
Ceres
Hume
Myers Flat
Redway
Springville
Three Rivers
Three Rivers
California Hot Springs
Springville
Three Rivers
Springville
Springville
None
Three Rivers
Hume
Hume
None
Chico
Hume
Sequoia National Park
Hume
Sequoia National Park
None
Miramonte
Montgomery Creek
Three Rivers
None
Hume
Upper Lake
Three Rivers
None
None
None
Sequoia National Park
Springville
Camp Nelson
Three Rivers
Springville
Porterville
Springville
Springville
Hume
Fish Camp
Shaver Lake
Arnold
None
Crescent City
Sequoia National Park
Hume
None
Springville
California Hot Springs
Porterville
None
Porterville
Porterville
Springville
Springville
California Hot Springs
Porterville
California Hot Springs
Whitmore
Whitmore
Shingletown
Lewiston
Crescent City
Crescent City
Crescent City
San Francisco
San Francisco
Crescent City
Crescent City
Chico
Springville
Springville
None
Kyburz
Whitethorn
Whitethorn
Philo
Philo
Mill Valley
Inverness
None
Mill Valley
Jenner
Jenner
Garberville
Bolinas
Forest Knolls
Sacramento
Ripon
Stockton
Carmel-by-the-Sea
Soquel
Corralitos
Felton
Santa Cruz
Santa Cruz
Felton
Santa Cruz
Santa Cruz
Los Gatos
Boulder Creek
Boulder Creek
Boulder Creek
Boulder Creek
Bishop
Gilroy
Felton
Aptos
Aptos
Aptos
Aptos
Saratoga
Novato
Carmel Valley
Aptos
Los Gatos
Scotia
Inverness
Port Orford
Agness
Agness
Gold Beach
Grants Pass
None
Selma
Brookings
Wolf Creek
Jacksonville
Klamath Falls
None
Selma
Selma
Reedsport
Crescent
None
Ashland
Gasquet
Forks of Salmon
Seiad Valley
Gasquet
Happy Camp
Seiad Valley
None
Crescent City
Crescent City
None
Happy Camp
Happy Camp
Fort Jones
Klamath
Happy Camp
Forks of Salmon
Etna
Big Bar
Forks of Salmon
None
Trinity Center
Big Bar
