,Days,Longitude,Latitude,AvgTemp,AvgHum,AvgWind,AvgRain,14dayAvgTemp,14dayAvgHum,14dayAvgWind,14dayAvgRain
0,0.0,37.8106959,-122.183232,19.66,75.0,1.43,0.0,21.360119047619044,57.22321428571429,2.0,1.0
1,1.0,37.8106959,-122.183232,19.645,70.0,3.1,0.0,21.360119047619044,57.22321428571429,2.0,1.0
2,2.0,37.8106959,-122.183232,18.7,73.0,2.83,0.0,21.360119047619044,57.22321428571429,2.0,1.0
3,3.0,37.8106959,-122.183232,19.45,71.0,2.71,0.0,21.360119047619044,57.22321428571429,2.0,1.0
4,4.0,37.8106959,-122.183232,21.025,69.0,2.1,0.0,21.360119047619044,57.22321428571429,2.0,1.0
5,5.0,37.8106959,-122.183232,21.315,70.0,2.03,0.0,21.360119047619044,57.22321428571429,2.0,1.0
6,0.0,38.2674577,-114.5958307,21.7,60.0,1.6,0.0,24.306279761904758,33.69047619047619,2.0,2.0
7,1.0,38.2674577,-114.5958307,18.165,67.0,1.31,0.0,24.306279761904758,33.69047619047619,2.0,2.0
8,2.0,38.2674577,-114.5958307,19.07,61.0,0.85,0.0,24.306279761904758,33.69047619047619,2.0,2.0
9,3.0,38.2674577,-114.5958307,20.265,48.0,1.18,0.0,24.306279761904758,33.69047619047619,2.0,2.0
10,4.0,38.2674577,-114.5958307,21.240000000000002,37.0,1.73,0.0,24.306279761904758,33.69047619047619,2.0,2.0
11,5.0,38.2674577,-114.5958307,21.325,28.000000000000004,2.58,0.0,24.306279761904758,33.69047619047619,2.0,2.0
12,0.0,40.0246419,-117.111486,20.83,30.0,1.96,0.0,24.748392857142854,24.291666666666664,2.0,0.0
13,1.0,40.0246419,-117.111486,16.665,56.99999999999999,1.99,0.0,24.748392857142854,24.291666666666664,2.0,0.0
14,2.0,40.0246419,-117.111486,15.600000000000001,62.0,1.15,0.0,24.748392857142854,24.291666666666664,2.0,0.0
15,3.0,40.0246419,-117.111486,15.93,60.0,0.73,0.0,24.748392857142854,24.291666666666664,2.0,0.0
