,0,1,2,3,4,5,6,7,8,9,10
0,0.0,37.8106959,-122.183232,19.66,75.0,1.43,21.360119047619047,57.22321428571429,2.0,0.0,0.24552168834137536
1,1.0,37.8106959,-122.183232,19.645,70.0,3.1,21.360119047619047,57.22321428571429,2.0,0.0,0.24945349684112636
2,2.0,37.8106959,-122.183232,18.7,73.0,2.83,21.360119047619047,57.22321428571429,2.0,0.0,0.2370767121530278
3,3.0,37.8106959,-122.183232,19.45,71.0,2.71,21.360119047619047,57.22321428571429,2.0,0.0,0.24383179797443205
4,4.0,37.8106959,-122.183232,21.025,69.0,2.1,21.360119047619047,57.22321428571429,2.0,0.0,0.24746722812372465
5,5.0,37.8106959,-122.183232,21.315,70.0,2.03,21.360119047619047,57.22321428571429,2.0,0.0,0.24858832657823238
6,0.0,38.2674577,-114.59583070000001,21.7,60.0,1.6,24.306279761904758,33.6904761904762,2.0,0.0,0.1422395418469943
7,1.0,38.2674577,-114.59583070000001,18.165,67.0,1.31,24.306279761904758,33.6904761904762,2.0,0.0,0.1841548449415714
8,2.0,38.2674577,-114.59583070000001,19.07,61.0,0.85,24.306279761904758,33.6904761904762,2.0,0.0,0.1659359095625932
9,3.0,38.2674577,-114.59583070000001,20.265,48.0,1.18,24.306279761904758,33.6904761904762,2.0,0.0,0.1354256890737803
10,4.0,38.2674577,-114.59583070000001,21.24,37.0,1.73,24.306279761904758,33.6904761904762,2.0,0.0,0.1403779511855724
11,5.0,38.2674577,-114.59583070000001,21.325,28.000000000000004,2.58,24.306279761904758,33.6904761904762,2.0,0.0,0.17106711674870162
12,0.0,40.0246419,-117.11148600000001,20.83,30.0,1.96,24.748392857142854,24.291666666666664,2.0,0.0,0.24269571211120303
13,1.0,40.0246419,-117.11148600000001,16.665,56.99999999999999,1.99,24.748392857142854,24.291666666666664,2.0,0.0,0.17016489926736472
14,2.0,40.0246419,-117.11148600000001,15.6,62.0,1.15,24.748392857142854,24.291666666666664,2.0,0.0,0.19547830680851067
15,3.0,40.0246419,-117.11148600000001,15.93,60.0,0.73,24.748392857142854,24.291666666666664,2.0,0.0,0.1941954305941386
16,4.0,40.0246419,-117.11148600000001,17.44,60.0,1.17,24.748392857142854,24.291666666666664,2.0,0.0,0.1730825070850099
17,5.0,40.0246419,-117.11148600000001,17.445,47.0,0.73,24.748392857142854,24.291666666666664,2.0,0.0,0.18412128487074522
18,0.0,39.387716999999995,-114.69806990000001,20.0,40.0,1.17,22.18321428571429,29.988095238095237,2.0,0.0,0.2149966831685464
19,1.0,39.387716999999995,-114.69806990000001,15.47,65.0,0.68,22.18321428571429,29.988095238095237,2.0,0.0,0.2158161623326775
20,2.0,39.387716999999995,-114.69806990000001,15.14,70.0,0.74,22.18321428571429,29.988095238095237,2.0,0.0,0.22688334854366501
21,3.0,39.387716999999995,-114.69806990000001,16.91,63.0,0.81,22.18321428571429,29.988095238095237,2.0,0.0,0.20451441218374972
22,4.0,39.387716999999995,-114.69806990000001,17.93,53.0,0.74,22.18321428571429,29.988095238095237,2.0,0.0,0.19531059844688287
23,5.0,39.387716999999995,-114.69806990000001,18.905,41.0,1.05,22.18321428571429,29.988095238095237,2.0,0.0,0.2159215742611088
24,0.0,38.931057700000004,-114.4216662,25.155,41.0,1.81,24.85071428571429,28.77083333333333,2.0,0.0,0.12202459919478972
25,1.0,38.931057700000004,-114.4216662,18.895,59.0,0.61,24.85071428571429,28.77083333333333,2.0,0.0,0.1623299844472839
26,2.0,38.931057700000004,-114.4216662,18.545,63.0,0.51,24.85071428571429,28.77083333333333,2.0,0.0,0.17756418151274292
27,3.0,38.931057700000004,-114.4216662,20.24,53.0,0.16,24.85071428571429,28.77083333333333,2.0,0.0,0.16671235578974133
28,4.0,38.931057700000004,-114.4216662,21.27,42.0,0.55,24.85071428571429,28.77083333333333,2.0,0.0,0.17206974821155857
29,5.0,38.931057700000004,-114.4216662,21.67,31.0,1.48,24.85071428571429,28.77083333333333,2.0,0.0,0.2051201880618796
30,0.0,38.604284899999996,-122.83237920000002,20.585,77.0,0.6,20.66363095238095,65.16369047619048,1.0,0.0,0.30078619562857795
31,1.0,38.604284899999996,-122.83237920000002,18.845,73.0,1.72,20.66363095238095,65.16369047619048,1.0,0.0,0.2242744028516131
